,Pct Happy,Pct Happy Group A,Pct Happy Group B,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (B),Avg pct similar neighbors (count empty),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B) (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct group B,Intolerance
166,99.1,100.0,96.6,66.5,76.9,39.6,58.2,64.8,38.5,350,262,88,0.25,0.25
167,99.1,100.0,96.6,66.5,76.9,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
168,99.1,100.0,96.6,66.4,76.7,39.5,58.1,64.8,38.2,350,262,88,0.25,0.25
169,99.1,100.0,96.6,66.4,76.7,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
170,99.1,100.0,96.6,66.4,76.8,39.6,58.2,64.8,38.5,350,262,88,0.25,0.25
171,99.1,100.0,96.6,66.4,76.7,39.5,58.1,64.8,38.2,350,262,88,0.25,0.25
172,99.1,100.0,96.6,66.3,76.6,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
173,99.1,100.0,96.6,66.3,76.7,39.2,58.1,64.8,38.1,350,262,88,0.25,0.25
174,99.1,100.0,96.6,66.4,76.6,39.9,58.2,64.8,38.6,350,262,88,0.25,0.25
175,99.1,100.0,96.6,66.4,76.8,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
176,99.1,100.0,96.6,66.3,76.6,39.5,58.1,64.8,38.2,350,262,88,0.25,0.25
177,99.4,100.0,97.7,66.4,76.7,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
178,99.4,100.0,97.7,66.3,76.6,39.9,58.3,64.8,38.9,350,262,88,0.25,0.25
179,99.1,100.0,96.6,66.5,76.7,40.0,58.2,64.8,38.8,350,262,88,0.25,0.25
180,99.1,100.0,96.6,66.5,76.9,39.5,58.1,64.8,38.2,350,262,88,0.25,0.25
181,99.1,100.0,96.6,66.5,76.8,39.8,58.2,64.8,38.5,350,262,88,0.25,0.25
182,99.1,100.0,96.6,66.3,76.6,39.7,58.2,64.8,38.5,350,262,88,0.25,0.25
183,99.1,100.0,96.6,66.4,76.6,39.9,58.2,64.8,38.8,350,262,88,0.25,0.25
184,99.1,100.0,96.6,66.5,76.9,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
185,99.1,100.0,96.6,66.4,76.7,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
186,99.1,100.0,96.6,66.3,76.6,39.7,58.2,64.8,38.6,350,262,88,0.25,0.25
187,99.1,100.0,96.6,66.5,76.9,39.9,58.3,64.8,38.9,350,262,88,0.25,0.25
188,99.1,100.0,96.6,66.6,76.9,39.9,58.2,64.8,38.6,350,262,88,0.25,0.25
