grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,Run,Grass Growth,Sheep,Wolves,height,width,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,grass
25,5,26,199,395,0,25,20,20,100,50,0.04,0.05,True
30,2,18,200,400,0,0,20,20,100,50,0.04,0.05,True
30,2,18,201,400,0,0,20,20,100,50,0.04,0.05,True
30,2,18,202,400,0,0,20,20,100,50,0.04,0.05,True
30,2,18,203,400,0,2,20,20,100,50,0.04,0.05,True
30,2,18,204,400,0,1,20,20,100,50,0.04,0.05,True
30,2,18,205,400,0,3,20,20,100,50,0.04,0.05,True
30,2,18,206,400,0,1,20,20,100,50,0.04,0.05,True
30,2,18,207,400,0,3,20,20,100,50,0.04,0.05,True
30,2,18,208,400,0,1,20,20,100,50,0.04,0.05,True
30,2,18,209,400,0,2,20,20,100,50,0.04,0.05,True
30,2,20,210,400,0,4,20,20,100,50,0.04,0.05,True
30,2,20,211,400,0,1,20,20,100,50,0.04,0.05,True
30,2,20,212,400,0,3,20,20,100,50,0.04,0.05,True
30,2,20,213,400,0,1,20,20,100,50,0.04,0.05,True
30,2,20,214,400,0,1,20,20,100,50,0.04,0.05,True
30,2,20,215,400,0,2,20,20,100,50,0.04,0.05,True
30,2,20,216,400,0,2,20,20,100,50,0.04,0.05,True
30,2,20,217,400,0,6,20,20,100,50,0.04,0.05,True
30,2,20,218,400,0,1,20,20,100,50,0.04,0.05,True
30,2,20,219,400,0,9,20,20,100,50,0.04,0.05,True
30,2,22,220,397,0,3,20,20,100,50,0.04,0.05,True
30,2,22,221,400,0,2,20,20,100,50,0.04,0.05,True
30,2,22,222,400,0,3,20,20,100,50,0.04,0.05,True
30,2,22,223,400,0,5,20,20,100,50,0.04,0.05,True
30,2,22,224,400,0,6,20,20,100,50,0.04,0.05,True
30,2,22,225,400,0,4,20,20,100,50,0.04,0.05,True
30,2,22,226,400,0,6,20,20,100,50,0.04,0.05,True
30,2,22,227,400,0,2,20,20,100,50,0.04,0.05,True
30,2,22,228,370,3,2,20,20,100,50,0.04,0.05,True
30,2,22,229,400,0,10,20,20,100,50,0.04,0.05,True
30,2,24,230,400,0,4,20,20,100,50,0.04,0.05,True
30,2,24,231,400,0,4,20,20,100,50,0.04,0.05,True
30,2,24,232,400,0,5,20,20,100,50,0.04,0.05,True
30,2,24,233,400,0,11,20,20,100,50,0.04,0.05,True
30,2,24,234,400,0,3,20,20,100,50,0.04,0.05,True
30,2,24,235,400,0,6,20,20,100,50,0.04,0.05,True
30,2,24,236,400,0,11,20,20,100,50,0.04,0.05,True
30,2,24,237,400,0,2,20,20,100,50,0.04,0.05,True
30,2,24,238,400,0,7,20,20,100,50,0.04,0.05,True
30,2,24,239,400,0,5,20,20,100,50,0.04,0.05,True
30,2,26,240,400,0,4,20,20,100,50,0.04,0.05,True
30,2,26,241,400,0,9,20,20,100,50,0.04,0.05,True
30,2,26,242,400,0,9,20,20,100,50,0.04,0.05,True
30,2,26,243,400,0,17,20,20,100,50,0.04,0.05,True
30,2,26,244,400,0,17,20,20,100,50,0.04,0.05,True
30,2,26,245,399,0,12,20,20,100,50,0.04,0.05,True
30,2,26,246,400,0,9,20,20,100,50,0.04,0.05,True
30,2,26,247,400,0,5,20,20,100,50,0.04,0.05,True
30,2,26,248,400,0,4,20,20,100,50,0.04,0.05,True
30,2,26,249,400,0,4,20,20,100,50,0.04,0.05,True
30,3,18,250,386,1,3,20,20,100,50,0.04,0.05,True
30,3,18,251,400,0,7,20,20,100,50,0.04,0.05,True
30,3,18,252,397,0,1,20,20,100,50,0.04,0.05,True
30,3,18,253,400,0,6,20,20,100,50,0.04,0.05,True
30,3,18,254,392,0,7,20,20,100,50,0.04,0.05,True
30,3,18,255,382,1,6,20,20,100,50,0.04,0.05,True
30,3,18,256,382,1,4,20,20,100,50,0.04,0.05,True
30,3,18,257,364,2,10,20,20,100,50,0.04,0.05,True
30,3,18,258,390,0,5,20,20,100,50,0.04,0.05,True
30,3,18,259,397,0,6,20,20,100,50,0.04,0.05,True
30,3,20,260,372,1,5,20,20,100,50,0.04,0.05,True
30,3,20,261,394,0,4,20,20,100,50,0.04,0.05,True
30,3,20,262,400,0,2,20,20,100,50,0.04,0.05,True
30,3,20,263,395,0,9,20,20,100,50,0.04,0.05,True
30,3,20,264,398,0,6,20,20,100,50,0.04,0.05,True
30,3,20,265,400,0,5,20,20,100,50,0.04,0.05,True
30,3,20,266,397,0,10,20,20,100,50,0.04,0.05,True
30,3,20,267,375,1,6,20,20,100,50,0.04,0.05,True
30,3,20,268,395,0,12,20,20,100,50,0.04,0.05,True
30,3,20,269,400,0,6,20,20,100,50,0.04,0.05,True
30,3,22,270,395,0,9,20,20,100,50,0.04,0.05,True
30,3,22,271,395,0,8,20,20,100,50,0.04,0.05,True
30,3,22,272,400,0,6,20,20,100,50,0.04,0.05,True
30,3,22,273,371,1,15,20,20,100,50,0.04,0.05,True
30,3,22,274,385,0,10,20,20,100,50,0.04,0.05,True
