grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,Run,Grass Growth,Sheep,Wolves,height,width,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,grass
25,5,22,173,350,4,22,20,20,100,50,0.04,0.05,True
25,5,22,174,375,0,25,20,20,100,50,0.04,0.05,True
25,5,22,175,385,1,20,20,20,100,50,0.04,0.05,True
25,5,22,176,373,3,14,20,20,100,50,0.04,0.05,True
25,5,22,177,389,0,23,20,20,100,50,0.04,0.05,True
25,5,22,178,386,1,21,20,20,100,50,0.04,0.05,True
25,5,22,179,378,1,14,20,20,100,50,0.04,0.05,True
25,5,24,180,381,1,27,20,20,100,50,0.04,0.05,True
25,5,24,181,380,0,27,20,20,100,50,0.04,0.05,True
25,5,24,182,400,0,21,20,20,100,50,0.04,0.05,True
25,5,24,183,400,0,17,20,20,100,50,0.04,0.05,True
25,5,24,184,388,1,26,20,20,100,50,0.04,0.05,True
25,5,24,185,364,0,25,20,20,100,50,0.04,0.05,True
25,5,24,186,400,0,26,20,20,100,50,0.04,0.05,True
25,5,24,187,397,0,19,20,20,100,50,0.04,0.05,True
25,5,24,188,400,0,25,20,20,100,50,0.04,0.05,True
25,5,24,189,398,0,21,20,20,100,50,0.04,0.05,True
25,5,26,190,399,0,32,20,20,100,50,0.04,0.05,True
25,5,26,191,400,0,22,20,20,100,50,0.04,0.05,True
25,5,26,192,396,0,20,20,20,100,50,0.04,0.05,True
25,5,26,193,400,0,27,20,20,100,50,0.04,0.05,True
25,5,26,194,380,1,18,20,20,100,50,0.04,0.05,True
25,5,26,195,382,0,42,20,20,100,50,0.04,0.05,True
25,5,26,196,380,2,29,20,20,100,50,0.04,0.05,True
25,5,26,197,399,0,31,20,20,100,50,0.04,0.05,True
25,5,26,198,368,2,17,20,20,100,50,0.04,0.05,True
25,5,26,199,375,1,31,20,20,100,50,0.04,0.05,True
30,2,18,200,400,0,1,20,20,100,50,0.04,0.05,True
30,2,18,201,400,0,1,20,20,100,50,0.04,0.05,True
30,2,18,202,400,0,1,20,20,100,50,0.04,0.05,True
30,2,18,203,400,0,5,20,20,100,50,0.04,0.05,True
30,2,18,204,400,0,0,20,20,100,50,0.04,0.05,True
30,2,18,205,400,0,2,20,20,100,50,0.04,0.05,True
30,2,18,206,400,0,0,20,20,100,50,0.04,0.05,True
30,2,18,207,400,0,1,20,20,100,50,0.04,0.05,True
30,2,18,208,400,0,0,20,20,100,50,0.04,0.05,True
30,2,18,209,400,0,2,20,20,100,50,0.04,0.05,True
30,2,20,210,400,0,2,20,20,100,50,0.04,0.05,True
30,2,20,211,400,0,4,20,20,100,50,0.04,0.05,True
30,2,20,212,400,0,5,20,20,100,50,0.04,0.05,True
30,2,20,213,400,0,0,20,20,100,50,0.04,0.05,True
30,2,20,214,400,0,2,20,20,100,50,0.04,0.05,True
30,2,20,215,400,0,2,20,20,100,50,0.04,0.05,True
30,2,20,216,400,0,4,20,20,100,50,0.04,0.05,True
30,2,20,217,400,0,3,20,20,100,50,0.04,0.05,True
30,2,20,218,400,0,0,20,20,100,50,0.04,0.05,True
30,2,20,219,400,0,1,20,20,100,50,0.04,0.05,True
30,2,22,220,400,0,7,20,20,100,50,0.04,0.05,True
30,2,22,221,400,0,6,20,20,100,50,0.04,0.05,True
30,2,22,222,400,0,5,20,20,100,50,0.04,0.05,True
30,2,22,223,400,0,5,20,20,100,50,0.04,0.05,True
30,2,22,224,400,0,6,20,20,100,50,0.04,0.05,True
30,2,22,225,400,0,6,20,20,100,50,0.04,0.05,True
30,2,22,226,400,0,4,20,20,100,50,0.04,0.05,True
30,2,22,227,400,0,2,20,20,100,50,0.04,0.05,True
30,2,22,228,400,0,6,20,20,100,50,0.04,0.05,True
30,2,22,229,400,0,6,20,20,100,50,0.04,0.05,True
30,2,24,230,396,0,10,20,20,100,50,0.04,0.05,True
30,2,24,231,400,0,5,20,20,100,50,0.04,0.05,True
30,2,24,232,400,0,20,20,20,100,50,0.04,0.05,True
30,2,24,233,400,0,8,20,20,100,50,0.04,0.05,True
30,2,24,234,400,0,10,20,20,100,50,0.04,0.05,True
30,2,24,235,398,0,5,20,20,100,50,0.04,0.05,True
30,2,24,236,400,0,8,20,20,100,50,0.04,0.05,True
30,2,24,237,400,0,2,20,20,100,50,0.04,0.05,True
30,2,24,238,400,0,6,20,20,100,50,0.04,0.05,True
30,2,24,239,400,0,9,20,20,100,50,0.04,0.05,True
30,2,26,240,397,0,6,20,20,100,50,0.04,0.05,True
30,2,26,241,400,0,4,20,20,100,50,0.04,0.05,True
30,2,26,242,400,0,8,20,20,100,50,0.04,0.05,True
30,2,26,243,398,0,12,20,20,100,50,0.04,0.05,True
30,2,26,244,400,0,14,20,20,100,50,0.04,0.05,True
30,2,26,245,400,0,5,20,20,100,50,0.04,0.05,True
30,2,26,246,400,0,5,20,20,100,50,0.04,0.05,True
30,2,26,247,400,0,7,20,20,100,50,0.04,0.05,True
30,2,26,248,400,0,11,20,20,100,50,0.04,0.05,True
30,2,26,249,400,0,8,20,20,100,50,0.04,0.05,True
30,3,18,250,400,0,6,20,20,100,50,0.04,0.05,True
30,3,18,251,396,0,6,20,20,100,50,0.04,0.05,True
30,3,18,252,399,0,1,20,20,100,50,0.04,0.05,True
30,3,18,253,396,0,2,20,20,100,50,0.04,0.05,True
30,3,18,254,385,0,6,20,20,100,50,0.04,0.05,True
30,3,18,255,399,0,3,20,20,100,50,0.04,0.05,True
30,3,18,256,399,0,7,20,20,100,50,0.04,0.05,True
30,3,18,257,399,0,1,20,20,100,50,0.04,0.05,True
30,3,18,258,394,0,10,20,20,100,50,0.04,0.05,True
30,3,18,259,375,1,12,20,20,100,50,0.04,0.05,True
30,3,20,260,394,0,12,20,20,100,50,0.04,0.05,True
30,3,20,261,397,0,3,20,20,100,50,0.04,0.05,True
30,3,20,262,398,0,9,20,20,100,50,0.04,0.05,True
30,3,20,263,399,0,6,20,20,100,50,0.04,0.05,True
30,3,20,264,378,0,7,20,20,100,50,0.04,0.05,True
30,3,20,265,394,0,4,20,20,100,50,0.04,0.05,True
30,3,20,266,400,0,10,20,20,100,50,0.04,0.05,True
30,3,20,267,380,1,6,20,20,100,50,0.04,0.05,True
30,3,20,268,400,0,2,20,20,100,50,0.04,0.05,True
30,3,20,269,377,0,8,20,20,100,50,0.04,0.05,True
30,3,22,270,380,1,4,20,20,100,50,0.04,0.05,True
30,3,22,271,382,0,16,20,20,100,50,0.04,0.05,True
30,3,22,272,377,2,6,20,20,100,50,0.04,0.05,True
30,3,22,273,400,0,11,20,20,100,50,0.04,0.05,True
30,3,22,274,397,0,7,20,20,100,50,0.04,0.05,True
30,3,22,275,399,0,5,20,20,100,50,0.04,0.05,True
30,3,22,276,395,0,11,20,20,100,50,0.04,0.05,True
30,3,22,277,400,0,7,20,20,100,50,0.04,0.05,True
30,3,22,278,399,0,11,20,20,100,50,0.04,0.05,True
30,3,22,279,399,0,12,20,20,100,50,0.04,0.05,True
30,3,24,280,399,0,23,20,20,100,50,0.04,0.05,True
30,3,24,281,394,0,21,20,20,100,50,0.04,0.05,True
30,3,24,282,396,0,18,20,20,100,50,0.04,0.05,True
30,3,24,283,398,0,8,20,20,100,50,0.04,0.05,True
30,3,24,284,400,0,9,20,20,100,50,0.04,0.05,True
30,3,24,285,400,0,4,20,20,100,50,0.04,0.05,True
30,3,24,286,400,0,13,20,20,100,50,0.04,0.05,True
30,3,24,287,400,0,13,20,20,100,50,0.04,0.05,True
30,3,24,288,400,0,9,20,20,100,50,0.04,0.05,True
30,3,24,289,378,2,12,20,20,100,50,0.04,0.05,True
30,3,26,290,400,0,11,20,20,100,50,0.04,0.05,True
30,3,26,291,392,0,10,20,20,100,50,0.04,0.05,True
30,3,26,292,396,0,16,20,20,100,50,0.04,0.05,True
30,3,26,293,395,0,20,20,20,100,50,0.04,0.05,True
30,3,26,294,375,2,17,20,20,100,50,0.04,0.05,True
30,3,26,295,399,0,9,20,20,100,50,0.04,0.05,True
30,3,26,296,400,0,9,20,20,100,50,0.04,0.05,True
30,3,26,297,389,0,14,20,20,100,50,0.04,0.05,True
30,3,26,298,399,0,22,20,20,100,50,0.04,0.05,True
30,3,26,299,400,0,9,20,20,100,50,0.04,0.05,True
30,4,18,300,369,2,6,20,20,100,50,0.04,0.05,True
30,4,18,301,336,4,7,20,20,100,50,0.04,0.05,True
30,4,18,302,346,3,9,20,20,100,50,0.04,0.05,True
30,4,18,303,384,0,4,20,20,100,50,0.04,0.05,True
30,4,18,304,385,1,8,20,20,100,50,0.04,0.05,True
30,4,18,305,379,0,8,20,20,100,50,0.04,0.05,True
30,4,18,306,396,0,9,20,20,100,50,0.04,0.05,True
30,4,18,307,377,0,12,20,20,100,50,0.04,0.05,True
30,4,18,308,398,0,3,20,20,100,50,0.04,0.05,True
30,4,18,309,387,0,17,20,20,100,50,0.04,0.05,True
30,4,20,310,383,1,12,20,20,100,50,0.04,0.05,True
30,4,20,311,397,0,7,20,20,100,50,0.04,0.05,True
30,4,20,312,393,0,12,20,20,100,50,0.04,0.05,True
30,4,20,313,364,1,11,20,20,100,50,0.04,0.05,True
30,4,20,314,386,0,17,20,20,100,50,0.04,0.05,True
30,4,20,315,395,0,7,20,20,100,50,0.04,0.05,True
30,4,20,316,393,0,4,20,20,100,50,0.04,0.05,True
30,4,20,317,400,0,4,20,20,100,50,0.04,0.05,True
30,4,20,318,384,0,17,20,20,100,50,0.04,0.05,True
30,4,20,319,361,2,8,20,20,100,50,0.04,0.05,True
30,4,22,320,379,2,22,20,20,100,50,0.04,0.05,True
30,4,22,321,378,1,13,20,20,100,50,0.04,0.05,True
30,4,22,322,369,1,7,20,20,100,50,0.04,0.05,True
30,4,22,323,394,0,11,20,20,100,50,0.04,0.05,True
30,4,22,324,398,0,6,20,20,100,50,0.04,0.05,True
30,4,22,325,400,0,13,20,20,100,50,0.04,0.05,True
30,4,22,326,393,0,23,20,20,100,50,0.04,0.05,True
30,4,22,327,378,1,11,20,20,100,50,0.04,0.05,True
30,4,22,328,398,0,11,20,20,100,50,0.04,0.05,True
30,4,22,329,397,0,20,20,20,100,50,0.04,0.05,True
30,4,24,330,393,0,25,20,20,100,50,0.04,0.05,True
30,4,24,331,392,0,19,20,20,100,50,0.04,0.05,True
30,4,24,332,375,1,19,20,20,100,50,0.04,0.05,True
30,4,24,333,399,0,14,20,20,100,50,0.04,0.05,True
30,4,24,334,395,0,25,20,20,100,50,0.04,0.05,True
30,4,24,335,396,0,19,20,20,100,50,0.04,0.05,True
30,4,24,336,392,0,18,20,20,100,50,0.04,0.05,True
30,4,24,337,395,0,33,20,20,100,50,0.04,0.05,True
30,4,24,338,380,1,29,20,20,100,50,0.04,0.05,True
30,4,24,339,398,0,21,20,20,100,50,0.04,0.05,True
30,4,26,340,383,0,25,20,20,100,50,0.04,0.05,True
30,4,26,341,398,0,15,20,20,100,50,0.04,0.05,True
30,4,26,342,380,0,22,20,20,100,50,0.04,0.05,True
30,4,26,343,336,6,20,20,20,100,50,0.04,0.05,True
30,4,26,344,396,0,19,20,20,100,50,0.04,0.05,True
30,4,26,345,400,0,8,20,20,100,50,0.04,0.05,True
30,4,26,346,362,1,25,20,20,100,50,0.04,0.05,True
30,4,26,347,399,0,10,20,20,100,50,0.04,0.05,True
30,4,26,348,398,0,30,20,20,100,50,0.04,0.05,True
30,4,26,349,399,0,26,20,20,100,50,0.04,0.05,True
30,5,18,350,384,0,8,20,20,100,50,0.04,0.05,True
30,5,18,351,366,3,11,20,20,100,50,0.04,0.05,True
30,5,18,352,383,1,13,20,20,100,50,0.04,0.05,True
30,5,18,353,366,1,15,20,20,100,50,0.04,0.05,True
30,5,18,354,381,2,13,20,20,100,50,0.04,0.05,True
30,5,18,355,388,0,9,20,20,100,50,0.04,0.05,True
30,5,18,356,373,0,10,20,20,100,50,0.04,0.05,True
30,5,18,357,354,1,21,20,20,100,50,0.04,0.05,True
30,5,18,358,325,6,13,20,20,100,50,0.04,0.05,True
30,5,18,359,376,0,17,20,20,100,50,0.04,0.05,True
30,5,20,360,343,4,19,20,20,100,50,0.04,0.05,True
30,5,20,361,367,2,9,20,20,100,50,0.04,0.05,True
